label,type,V2018,V2022,V2026,options_2018,options_2022,options_2026,comparable,source_2018_2022,source_2022_2026
"Hoeveel lidmate het gedurende 2017 lidmaat van dié gemeente geword, wat voorheen nie lidmaat van enige ander gemeente of denominasie was nie? Belydende lidmate",,V13,V13,V08,,,,numeric,block+order,block+text
"Hoeveel lidmate het gedurende 2017 lidmaat van dié gemeente geword, wat voorheen nie lidmaat van enige ander gemeente of denominasie was nie? Dooplidmate",,V14,V14,,,,,numeric,block+order,
"Hoeveel lidmate het gedurende 2017 lidmaat van dié gemeente geword, wat voorheen nie lidmaat van enige ander gemeente of denominasie was nie? Ongedooptes",,V15,V15,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Babas gedoop",,V16,V16,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Kinders gedoop",,V17,V17,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Volwassenes gedoop",,V18,V18,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Dooplidmate wat belydenis van geloof afgelê het",,V19,V19,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? wat belydenis van geloof afgelê het",,V20,V20,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Troues",,V21,V21,,,,,numeric,block+order,
"Gedurende 2017, hoeveel van die volgende het gebeur? Begrafnisse",,V22,V22,,,,,numeric,block+order,
Aantal voltydse Predikante,numeries,V23,V23,,,,,numeric,KS_lookup,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is Tans vakant,,V24,V24,,,,,numeric,block+order,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is In 2014-2017 verander na ŉ “verkleinde” pos,,V25,V25,,,,,numeric,block+order,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is in 2014-2017 afgeskaf/gesluit,,V26,V26,,,,,numeric,block+order,
Voltydse predikantsposte in die gemeente is … dui aan hoeveel is in 2014-2017 geskep,,V27,V27,,,,,numeric,block+order,
Hoeveel predikantsposte word gevul deur Voltydse geordende leraar(s) (Voltydse onbepaalde termynpos),,V28,V28,V14,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur Tentmakerleraar (Deeltydse onbepaalde termynpos),,V29,V29,V15,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur Leraar met kontrakpos (Voltydse vaste termynpos),,V30,V30,V16,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur Deeltydse leraar met kontrakpos (Deeltydse vaste termynpos),,V31,V31,V17,,,,numeric,block+text,block+text
"Hoeveel predikantsposte word gevul deur Kapelaan, gekoppel aan gemeente",,V32,V32,V18,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur Proponent,,V33,V34,V22,,,,numeric,block+text,block+text
Hoeveel predikantsposte word gevul deur help uit),,V34,V35,V19,,,,numeric,block+text,block+text
"Indien die gemeente ŉ deeltydse predikantspos het, dui asb die termyn (aantal jare) aan",,V35,V37,V26,,,,numeric,block+order,block+order
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Proponent,,V36,V40,V29,2,2,2,yes,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Proponent,,V37,V41,V30,,,2,scale-changed,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Emerituspredikant,,V38,V42,V31,2,2,2,yes,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Emerituspredikant,,V39,V43,V33,,,2,scale-changed,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Teologiese student,,V40,V44,V35,2,2,2,yes,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Teologiese student,,V41,V45,V28,,,2,scale-changed,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Gelegitimeerde in ’n ander betrekking,,V42,V46,V34,2,2,2,yes,block+text,block+text
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Gelegitimeerde in ’n ander betrekking,,V43,V47,,,,,numeric,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Predikant wat op ’n beroep wag,,V44,V48,,2,2,,yes,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Predikant wat op ’n beroep wag,,V45,V49,,,,,numeric,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Jeugwerker,,V46,V50,,2,2,,yes,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Jeugwerker,,V47,V51,,,,,numeric,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Nie-gelegitimeerde,,V48,V52,,2,2,,yes,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Nie-gelegitimeerde,,V49,V53,,,,,numeric,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Ander :,,V50,V54,,2,2,,yes,block+text,
Gebruik die gemeente ander teologies opgeleide persone in die gemeente? Ander :,,V51,V55,,,,,numeric,block+text,
Hoeveel gelegitimeerde predikante in die gemeente se diens is vroue? Voltyds,,V52,V56,V36,,,,numeric,block+order,block+order
Hoeveel gelegitimeerde predikante in die gemeente se diens is vroue? Deeltyds,,V53,V57,V37,,,,numeric,block+order,block+order
Aantal ouderlinge,numeries,V54,V58,V38,,,,numeric,KS_lookup,block+text
Aantal diakens,numeries,V55,V59,V39,,,,numeric,KS_lookup,block+text
Aantal kategete,numeries,V56,V60,V40,,,,numeric,KS_lookup,block+text
Kerkraadslede mans onder 40,numeries,V57a,V61a,,,,,numeric,KS_lookup,
Kerkraadslede vrouens onder 40,numeries,V57b,V61b,,,,,numeric,KS_lookup,
Kerkraadslede mans 40-60,numeries,V58a,V62a,,,,,numeric,KS_lookup,
Kerkraadslede vrouens 40-60,numeries,V58b,V62b,,,,,numeric,KS_lookup,
Kerkraadslede mans bo 60,numeries,V59a,V63a,,,,,numeric,KS_lookup,
Kerkraadslede vrouens bo 60,numeries,V59b,V63b,,,,,numeric,KS_lookup,
Kategete mans onder 40,numeries,V60a,V64a,,,,,numeric,KS_lookup,
Kategete vrouens onder 40,numeries,V60b,V64b,,,,,numeric,KS_lookup,
Kategete mans 40-60,numeries,V61a,V65a,,,,,numeric,KS_lookup,
Kategete vrouens 40-60,numeries,V61b,V65b,,,,,numeric,KS_lookup,
Kategete mans bo 60,numeries,V62a,V66a,,,,,numeric,KS_lookup,
Kategete vrouens bo 60,numeries,V62b,V66b,,,,,numeric,KS_lookup,
Ander dienswerkers mans onder 40,numeries,V63a,V67a,,,,,numeric,KS_lookup,
Ander dienswerkers vroue onder 40,numeries,V63b,V67b,,,,,numeric,KS_lookup,
Ander dienswerkers mans 40-60,numeries,V64a,V68a,,,,,numeric,KS_lookup,
Ander dienswerkers vroue 40-60,numeries,V64b,V68b,,,,,numeric,KS_lookup,
Ander dienswerkers mans bo 60,numeries,V65a,V69a,,,,,numeric,KS_lookup,
Ander dienswerkers vroue bo 60,numeries,V65b,V69b,,,,,numeric,KS_lookup,
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Musiekleier,,V66,V70,V42,2,2,2,yes,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Musiekleier,,V67,V71,V43,,,2,scale-changed,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Maatskaplike werker,,V68,V72,V45,2,2,2,yes,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Maatskaplike werker,,V69,V73,V44,,,2,scale-changed,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Jeugwerker,,V70,V74,V46,2,2,2,yes,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Jeugwerker,,V71,V75,V48,,,2,scale-changed,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Kinderwerker,,V72,V76,V47,2,2,2,yes,block+text,block+text
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Kinderwerker,,V73,V77,,,,,numeric,block+text,
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Eredienswerker,,V74,V78,,2,2,,yes,block+text,
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Eredienswerker,,V75,V79,,,,,numeric,block+text,
Betaalde persone vir andertalige of kruiskulturele bediening,janee,V76,V80,,2,2,,yes,KS_lookup,
Betaalde persone vir andertalige of kruiskulturele bediening (Getal),numeries,V77,V81,,,,,numeric,KS_lookup,
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Ander,,V78,V82a,,,2,,scale-changed,block+text,
Gebruik u ook ander betaalde persone wat nie teologies opgelei is nie vir bedieningstake in die gemeente: Ander,,V79,V82b,,,,,numeric,block+text,
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Musiekleier,,V80,V84,,2,2,,yes,block+text,
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Maatskaplike werker,,V81,V85,,2,2,,yes,block+text,
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Jeugwerker,,V82,V86,,2,2,,yes,block+text,
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Kinderwerker,,V83,V87,,2,2,,yes,block+text,
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Erediensleier,,V84,V88,,2,2,,yes,block+text,
Onbetaalde persone vir andertalige of kruiskulturele bediening,janee,V85,V89,,2,2,,yes,KS_lookup,
Het u diensooreenkomste met mense wat sonder betaling in die gemeente werk? Ander,,V86,V90a,,,2,,scale-changed,block+text,
Word persone buiten ouderlinge en diakens tydens ŉ erediens vir hulle dienswerk afgesonder of bevestig?,,V87,V91,,2,2,,yes,block+order,
Oor watter formele kwalifikasies beskik die aangestelde jeugwerker(s)? 2.13 Oor watter formele kwalifikasies beskik die aangestelde jeugwerker(s)?,,V88,V92,,,,,numeric,block+order,
Bestaan daar ŉ Diensverhoudinge Kommissie of soortgelyke kommissie wat die diensooreenkoms van predikante en amptenare hanteer?,,V89,V93,V49,2,2,2,yes,block+order,block+order
Word die Bestuursgids vir Diensverhoudinge van die NG Kerk as riglyn vir diensverhoudinge gebruik?,,V90,V94,,2,2,,yes,block+order,
"Is daar ŉ diensooreenkoms, volgens die Kerkorde, wat met die volgende persone wat in diens van die gemeente is, aangegaan is? Predikant(e)",,V91,V95,,2,2,,yes,block+order,
"Is daar ŉ diensooreenkoms, volgens die Kerkorde, wat met die volgende persone wat in diens van die gemeente is, aangegaan is? Kantoorpersoneel",,V92,V96,,2,2,,yes,block+order,
"Is daar ŉ diensooreenkoms, volgens die Kerkorde, wat met die volgende persone wat in diens van die gemeente is, aangegaan is? Orrelis",,V93,V97,,2,2,,yes,block+order,
"Is daar ŉ diensooreenkoms, volgens die Kerkorde, wat met die volgende persone wat in diens van die gemeente is, aangegaan is? Koster",,V94,V98,,2,2,,yes,block+order,
"Is daar ŉ diensooreenkoms, volgens die Kerkorde, wat met die volgende persone wat in diens van die gemeente is, aangegaan is? Ander personeel",,V95,V99,,2,2,,yes,block+order,
"Is daar ŉ versorgingskommissie, naas die diensverhoudinge kommissie, wat omsien na die versorging van die volgende persone? Predikant(e)",,V96,V100,V50,2,2,2,yes,block+order,block+order
"Is daar ŉ versorgingskommissie, naas die diensverhoudinge kommissie, wat omsien na die versorging van die volgende persone? Kantoorpersoneel",,V97,V101,V51,2,2,2,yes,block+order,block+order
"Is daar ŉ versorgingskommissie, naas die diensverhoudinge kommissie, wat omsien na die versorging van die volgende persone? Orrelis",,V98,V102,V52,2,2,2,yes,block+order,block+order
"Is daar ŉ versorgingskommissie, naas die diensverhoudinge kommissie, wat omsien na die versorging van die volgende persone? Koster",,V99,V103,V53,2,2,2,yes,block+order,block+order
"Is daar ŉ versorgingskommissie, naas die diensverhoudinge kommissie, wat omsien na die versorging van die volgende persone? Ander personeel",,V100,V104,V54,2,2,2,yes,block+order,block+order
"Hanteer en bestuur die diensverhoudinge kommissie, of soortgelyke kommissie die verlof van die predikant(e) en ander amptenare?",,V101,V105,,2,2,,yes,block+order,
Het die gemeente ŉ amptelik goedgekeurde begroting? 3.1 Het die gemeente ŉ amptelik goedgekeurde begroting?,,V102,V106,V55,2,2,2,yes,block+order,block+order
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Salarisse en voordele,,V103,V108,V57,,,,numeric,block+text,block+text
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Administrasie van die gemeente,,V104,V109,V60,,,,numeric,block+text,block+text
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Eiendomsuitgawes,,V105,V110,V59,,,,numeric,block+text,block+text
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Bedieninge ter wille van die gemeente self,,V106,V111,V61,,,,numeric,block+text,block+text
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Diens en getuienis na buite die gemeente,,V107,V112,V62,,,,numeric,block+text,block+text
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Ander,,V108,V114a,,,,,numeric,block+text,
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Ander (spesifiseer),,V108a,V114b,,,,,numeric,block+text,
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Ander,,V109,V115a,,,,,numeric,block+text,
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Ander (spesifiseer),,V109a,V115b,,,,,numeric,block+text,
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Ander,,V110,V116a,,,,,numeric,block+text,
Watter persentasie van u werklike uitgawes in die 2017/2018 finansiële jaar het u bestee aan ... Ander (spesifiseer),,V110a,V116b,,,,,numeric,block+text,
Beskryf die gemeente se finansiële posisie,4opsies2,V111,V117,V64,4,4,4,yes,KS_lookup,block+order
"Indien die gemeente se voortbestaan bedreig word deur finansies, watter opsies oorweeg u?",,V112,V123a,,4,4,,yes,block+order,
"Indien die gemeente se voortbestaan bedreig word deur finansies, watter opsies oorweeg u? (spesifiseer)",,V112a,V123b,,,,,numeric,block+order,
Die vergoeding van die voltydse predikant(e) in diens van die gemeente is 3.5 Die vergoeding van die voltydse predikant(e) in diens van die gemeente is,,V113,V124,V68,3,3,3,yes,block+order,block+order
Voltydse predikante in diens van die gemeente word toegelaat om in ŉ eie woning te bly,,V114,V125a,,3,3,,yes,block+order,
Voltydse predikante in diens van die gemeente word toegelaat om in ŉ eie woning te bly (spesifiseer),,V114a,V125b,,,,,numeric,block+order,
Hoeveel eredienste word gewoonlik elke Sondag in dié gemeente gehou? Oggend Getal,,V115,V126,V69,,,,numeric,block+order,block+order
Hoeveel eredienste word gewoonlik elke Sondag in dié gemeente gehou? Aand Getal,,V116,V127,V70,,,,numeric,block+order,block+order
Hoeveel eredienste word gewoonlik elke Sondag in dié gemeente gehou? Ander Getal,,V117,V128,V71,,,,numeric,block+order,block+order
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Gesins- of familiediens",,V118,V130,V73,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Aparte diens vir senior burgers",,V119,V131,V74,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Aparte diens vir jong volwassenes",,V120,V132,V75,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Aparte Jeugdiens (hoofsaaklik hoërskool)",,V121,V133,V76,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Aparte Kinderdiens (hoofsaaklik laerskool)",,V122,V134,V77,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Aparte Kleuterdiens (voorskools)",,V123,V135,V78,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Andertalige diens",,V124,V136,V79,2,2,2,yes,block+text,block+text
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Ander :",,V125,V137a,,2,2,,yes,block+text,
"Het u gemeente, naas ’n gewone erediens, ook ander eredienste? Ander : (spesifiseer)",,V125a,V137b,,,,,numeric,block+text,
Wie lei hierdie dienste? (Merk asb waar van toepassing),,V126,,,,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) burgers,,V127,,,,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Aparte Jeugdiens,,V128,,,5,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Aparte Kinderdiens,,V129,,,5,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Aparte Kleuterdiens,,V130,,,5,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Andertalige diens,,V131,,,5,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Ander,,V132,,,,,,single-wave,,
Wie lei hierdie dienste? (Merk asb waar van toepassing) Ander (spesifiseer),,V132a,,,,,,single-wave,,
"Indien u ’n andertalige diens het, dui aan watter taal en hoeveel dienste per maand Taal",,V133,,,,,,single-wave,,
"Indien u ’n andertalige diens het, dui aan watter taal en hoeveel dienste per maand Taal (spesifiseer)",,V133a,,,,,,single-wave,,
"Indien u ’n andertalige diens het, dui aan watter taal en hoeveel dienste per maand Taal",,V134,,,,,,single-wave,,
"Indien u ’n andertalige diens het, dui aan watter taal en hoeveel dienste per maand Taal (spesifiseer)",,V134a,,,,,,single-wave,,
"Indien u ’n andertalige diens het, dui aan watter taal en hoeveel dienste per maand Taal",,V135,,,,,,single-wave,,
"Indien u ’n andertalige diens het, dui aan watter taal en hoeveel dienste per maand Taal (spesifiseer)",,V135a,,,,,,single-wave,,
"Wat is die totale gemiddelde erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan) 2013",,V136,V150,V88,,,,numeric,block+text,block+order
"Wat is die totale gemiddelde erediensbywoning per Sondag in Februarie? (Dui dit vir elke jaar, as gemiddeld vir al die erediente wat op ’n Sondag in Februarie plaasvind, aan) 2014",,V137,V152,V90,,,,numeric,block+text,block+order
Erediensbywoning Y3,numeries,V138,V150,V88,,,,numeric,KS_lookup,block+order
Erediensbywoning Y2,numeries,V139,V151,V89,,,,numeric,KS_lookup,block+order
Erediensbywoning Y1,numeries,V140,V152,V90,,,,numeric,KS_lookup,block+order
Erediensbywoning Y0,numeries,V141,V153,V91,,,,numeric,KS_lookup,block+order
Watter liederebundels gebruik u tydens die eredienste Liedboek,,V142,V160,V97,4,4,4,yes,block+order,block+order
Watter liederebundels gebruik u tydens die eredienste Flam,,V143,V161,V98,4,4,4,yes,block+order,block+order
Watter liederebundels gebruik u tydens die eredienste VONKK,,V144,V162,V99,4,4,4,yes,block+order,block+order
Watter liederebundels gebruik u tydens die eredienste ’n Eie bundel,,V145,V163,V100,4,4,4,yes,block+order,block+order
Watter liederebundels gebruik u tydens die eredienste Ander :,,V146,V164,V101,4,4,4,yes,block+order,block+order
Wat die eredienste in die gemeente betref die kerkjaar word gevolg,,V147,V165,V102,4,4,4,yes,block+text,block+text
Wat die eredienste in die gemeente betref gebruik,,V148,V170,V108,,,,numeric,block+text,block+text
Wat die eredienste in die gemeente betref,,V149,V166,V104,,,,numeric,block+text,block+text
Wat die eredienste in die gemeente betref Ons doen van tyd tot tyd preekreekse,,V150,V169,V107,4,4,4,yes,block+text,block+text
Wat die eredienste in die gemeente betref teks en tema,,V151,V167,V106,,,,numeric,block+text,block+text
Wat is die primêre vorm van begeleiding tydens die volgende eredienste? Gesins- of familiediens,,V152,V171,V110,5,5,5,yes,block+order,block+text
Wat is die primêre vorm van begeleiding tydens die volgende eredienste? Diens vir senior burgers,,V153,V172,V111,5,5,5,yes,block+order,block+text
Wat is die primêre vorm van begeleiding tydens die volgende eredienste? Jeugdiens,,V154,V173,V112,5,5,5,yes,block+order,block+text
Wat is die primêre vorm van begeleiding tydens die volgende eredienste? Kinderkerk,,V155,V174,V113,5,5,5,yes,block+order,block+text
Wat is die primêre vorm van begeleiding tydens die volgende eredienste? Kleuterkerk,,V156,V175,V114,5,5,5,yes,block+order,block+text
Wat is die primêre vorm van begeleiding tydens die volgende eredienste? Andertalige diens,,V157,V176,V115,5,5,5,yes,block+order,block+text
"Hoeveel maal het u gedurende 2017 die nagmaal gevier? (Gemeentes wat op dieselfde dag by meer as een erediens nagmaal bedien, tel dit net as een geleentheid.)",,V158,V177,V116,,,,numeric,block+order,block+order
Watter een van die volgende omskrywings sal die kerkraad die beste beskryf?,,V159,V178,V117,6,7,,scale-changed,block+order,block+order
Hoe sou u die gemeente se huidige rigting tipeer,4opsies1,V160,V179,V118,4,4,4,yes,KS_lookup,block+order
Oorweeg vir voortbestaan: saamsmelt met buurgemeente,janee,V161,V180,,2,2,,yes,KS_lookup,
Oorweeg vir voortbestaan: deeltydse leraar,janee,V162,V181,,2,2,,yes,KS_lookup,
Oorweeg vir voortbestaan: ouderling met preekbevoegdheid,janee,V163,V183,,2,2,,yes,KS_lookup,
Oorweeg vir voortbestaan: verenigde kerkraad breed ekumenis,janee,V164,V184,,2,2,,yes,KS_lookup,
Oorweeg vir voortbestaan: verenigde kerkraad VGK,janee,V165,V185,,2,2,,yes,KS_lookup,
Is u bewus van die volgende moontlikhede wat tans ontwikkel word? Ouderlinge met preekbevoegdheid,,V166,V186,V128,2,2,2,yes,block+order,block+order
Is u bewus van die volgende moontlikhede wat tans ontwikkel word? Opleiding vir diensleraars,,V167,V187,V129,2,2,2,yes,block+order,block+order
Is u bewus van die volgende moontlikhede wat tans ontwikkel word? Deeltydse opleiding van tweede loopbaan predikante,,V168,V188,V130,2,2,2,yes,block+order,block+order
Wie is die voorsitter van die kerkraad? 5.5 Wie is die voorsitter van die kerkraad?,,V169,,,4,,,single-wave,,
Die gebruik van tegnologie in die gemeente Is die lidmaatdatabasis gerekenariseerd?,,V170,V190,V132,2,2,2,yes,block+order,block+text
Die gebruik van tegnologie in die gemeente Is die boekhoustelsel gerekenariseerd?,,V171,V191,V133,2,2,2,yes,block+order,block+text
Die gebruik van tegnologie in die gemeente Het die gemeente ŉ eie webwerf?,,V172,V192,V134,2,2,2,yes,block+order,block+text
Die gebruik van tegnologie in die gemeente kommunikeer?,,V173,V193,V142,,,,numeric,block+order,block+text
Die gebruik van tegnologie in die gemeente kommunikeer?,,V174,V194,V135,,,,numeric,block+order,block+text
Die gebruik van tegnologie in die gemeente kommunikeer?,,V175,V195,V137,,,,numeric,block+order,block+text
Die gebruik van tegnologie in die gemeente Stuur die gemeente ŉ elektroniese nuusbrief uit?,,V176,V196,V139,2,2,2,yes,block+order,block+text
Die gebruik van tegnologie in die gemeente Word ŉ dataprojektor tydens eredienste gebruik?,,V177,V197,V140,2,,2,scale-changed,block+order,block+text
Die gebruik van tegnologie in die gemeente oorbetaal?,,V178,V198,V141,,2,,scale-changed,block+order,block+text
Rol van verband: Algemene Sinode,3opsies1,V179,V213,V156,3,3,3,yes,KS_lookup,block+order
Rol van verband: Streeksinode,3opsies1,V180,V214,V157,3,3,3,yes,KS_lookup,block+order
Rol van verband: Ring,3opsies1,V181,V215,V158,3,3,3,yes,KS_lookup,block+order
Die gemeentelike leierskap beplan gereeld om die roeping en fokus van die gemeente te onderskei.,lickert5,V182,V216,V159,5,5,5,yes,KS_lookup,block+order
Die kultuur en ouderdom van die gemeente reflekteer die demografie van die gemeenskap waarbinne die gemeente geleë is.,lickert5,V183,V217,V160,5,5,5,yes,KS_lookup,block+order
Ons gemeente is ‘n gemeente met sendingprojekte wat deel is van die gewone gemeenteaktiwiteite.,lickert5,V184,V218,V161,5,5,5,yes,KS_lookup,block+order
Die gemeente pas gereeld haar bediening aan by die veranderende konteks van die gemeenskap.,lickert5,V185,V219,V162,5,5,5,yes,KS_lookup,block+order
Die gemeente bemagtig lidmate om hulle gawes in die gemeente en gemeenskap te gebruik.,lickert5,V186,V220,V163,5,5,5,yes,KS_lookup,block+order
"Die gemeentelike leierskap kommunikeer die roeping van die gemeente gereeld, helder en duidelik aan die gemeente.",lickert5,V187,V221,V164,5,5,5,yes,KS_lookup,block+order
Die gemeentelike leierskap beskik oor ‘n formele bedieningsplan met spesifieke strategieë om te bereik.,lickert5,V188,V222,V165,5,5,5,yes,KS_lookup,block+order
Die gemeentelike leierskap bestuur die finansies van die gemeente op so ‘n manier dat dit die gemeente se roeping dien.,lickert5,V189,V223,V166,5,5,5,yes,KS_lookup,block+order
"Die gemeentelike leierskap maak seker dat die bedieninge, aksies en projekte die gemeente se roeping dien.",lickert5,V190,V224,V167,5,5,5,yes,KS_lookup,block+order
Ons gemeente is ’n missionale gemeente wat sy bestaan sien as deel van God se sending na hierdie wêreld.,lickert5,V191,V225,V168,5,5,5,yes,KS_lookup,block+order
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? Slegs ons bydrae via die ring en sinode.,,V192,V226,V175,3,4,,scale-changed,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? op ander maniere,,V193,V227,V169,,,,numeric,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? Afrika / RCA,,V194,V228,V170,,,,numeric,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? Ons het een of meer projekte in die gemeenskap,,V195,V229,V172,3,,,scale-changed,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? gemeenskap,,V196,V230,V173,,,,numeric,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? georganiseerde landbou en maatskaplike dienste,,V197,V231,V174,,,,numeric,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? staatsdepartemente en munisipaliteite,,V198,V232,V171,,,,numeric,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? geloofsgemeenskappe in die gemeenskap,,V199,V233,V176,,,,numeric,block+order,block+text
Op watter maniere leef die gemeente julle roeping as gestuurdes uit? meeste van ons lidmate berokke is,,V200,V234,,,,,numeric,block+order,
Op watter manier weerspieël die gemeente se begroting die gestuurde roeping van die gemeente? Ons bydraes deur die ring en sinode,,V201,V235,V178,2,2,2,yes,block+order,block+order
Op watter manier weerspieël die gemeente se begroting die gestuurde roeping van die gemeente? Ons het vaste finansiële ooreenkomste met ander instansies,,V202,V236,V179,2,2,2,yes,block+order,block+order
Op watter manier weerspieël die gemeente se begroting die gestuurde roeping van die gemeente? na buite,,V203,V237,V180,,,,numeric,block+order,block+order
Op watter manier weerspieël die gemeente se begroting die gestuurde roeping van die gemeente? Ons ken ’n persentasie van ons inkomste toe vir uitreik,,V204,V238,V181,2,2,2,yes,block+order,block+order
Op watter manier weerspieël die gemeente se begroting die gestuurde roeping van die gemeente? sigbaar,,V205,V239,V182,,,,numeric,block+order,block+order
Ons gemeente stel ons geboue tot beskikking van die gemeenskap as deel van ons dienswerk na buite,,V206,V240,V183,5,5,5,yes,block+order,block+order
Wat doen die gemeente om gasvryheid te bevorder? gemeente se eredienste laat tuis voel,,V207,V241,V184,,,,numeric,block+text,block+order
